:START_ID,:END_ID,name,:TYPE
e5141,e26608,推出年款,推出年款
e5141,e41230,汽车级别,汽车级别
e37726,e43204,开工,开工
e37726,e12696,服役,服役
e25165,e25165,中文名,中文名
e25165,e5054,逝世日期,逝世日期
e25165,e31769,参加革命时间,参加革命时间
e25165,e51726,职务,职务
e13095,e13095,中文名,中文名
e13095,e29382,逝世日期,逝世日期
e13095,e37754,参加革命时间,参加革命时间
e13095,e17962,牺牲地点,牺牲地点
e37726,e28304,设计,设计
e29443,e29443,中文名,中文名
e29443,e32830,3,3
e29443,e44081,2,2
e29443,e48188,1,1
e37726,e28304,设计,设计
e37726,e43204,开工,开工
e37726,e12696,服役,服役
e49401,e49401,中文名,中文名
e49401,e40578,外文名,外文名
e49401,e29581,特点,特点
e49401,e51001,性质,性质
e34442,e34442,中文名,中文名
e34442,e14546,出生日期,出生日期
e34442,e2215,职业,职业
e1735,e1735,中文名,中文名
e1735,e44220,国籍,国籍
e6730,e42532,中文名称,中文名称
e6730,e9925,英文名称,英文名称
e6730,e21614,用途,用途
e1735,e30771,逝世日期,逝世日期
e45740,e45740,中文名,中文名
e45740,e7869,颁布时间,颁布时间
e45740,e23174,颁布国家,颁布国家
e19346,e19346,中文名,中文名
e19346,e37954,外文名,外文名
e19346,e36444,舰级,舰级
e19346,e1126,宽度,宽度
e19346,e52680,长度,长度
e19346,e7544,类型,类型
e35479,e35479,中文名,中文名
e35479,e28844,特点,特点
e35479,e41978,实现,实现
e8146,e8146,中文名,中文名
e8146,e50064,出生日期,出生日期
e8146,e17524,逝世日期,逝世日期
e8146,e23117,参加革命时间,参加革命时间
e35479,e11840,优点,优点
e11449,e11449,中文名,中文名
e11449,e43657,性别,性别
e11449,e44220,国籍,国籍
e11449,e13590,民族,民族
e25364,e25364,本名,本名
e25364,e1679,别名,别名
e25364,e31582,民族族群,民族族群
e25364,e46409,出生地,出生地
e25364,e35043,逝世日期,逝世日期
e25364,e27947,所处时代,所处时代
e29173,e29173,中文名,中文名
e29173,e34133,外文名,外文名
e29173,e37209,生产单位,生产单位
e29173,e51635,用途,用途
e29173,e20714,产品名称,产品名称
e29173,e33390,类型,类型
e29173,e34133,外文名,外文名
e29173,e20714,产品名称,产品名称
e29173,e29173,中文名,中文名
e29173,e37209,生产单位,生产单位
e29173,e51635,用途,用途
e29173,e33390,类型,类型
e14172,e14172,中文名,中文名
e14172,e24063,基本特点,基本特点
e14172,e29263,研发国家,研发国家
e14172,e9386,性质,性质
e14172,e20240,外文名,外文名
e14172,e14172,中文名,中文名
e14172,e20240,外文名,外文名
e14172,e24063,基本特点,基本特点
e14172,e9386,性质,性质
e14172,e29263,研发国家,研发国家
e35883,e43449,中文名,中文名
e35883,e44220,国家,国家
e35883,e43449,中文名,中文名
e35883,e44220,国家,国家
e6411,e6411,中文名,中文名
e6411,e47199,歌曲名,歌曲名
e6411,e22599,国家全称,国家全称
e6411,e20472,采用时间,采用时间
e30488,e30488,中文名,中文名
e30488,e48844,出生日期,出生日期
e30488,e43657,性别,性别
e30488,e21765,逝世日期,逝世日期
e6656,e6656,中文名,中文名
e6656,e50580,出生地,出生地
e6656,e46191,逝世日期,逝世日期
e6656,e41812,信仰,信仰
e6656,e22658,主要成就,主要成就
e6656,e46453,出生日期,出生日期
e49498,e49498,中文名,中文名
e49498,e47026,枪管长,枪管长
e49498,e36792,枪重,枪重
e49498,e44168,枪管缠距,枪管缠距
e23781,e23781,中文名,中文名
e23781,e44220,国籍,国籍
e23781,e43657,性别,性别
e23781,e13590,民族,民族
e53215,e53215,中文名,中文名
e53215,e37366,出生日期,出生日期
e53215,e52747,职业,职业
e53215,e29382,逝世日期,逝世日期
e23123,e23123,中文名,中文名
e23123,e52148,口径,口径
e23123,e395,分类,分类
e53080,e53080,中文名,中文名
e53080,e44220,国籍,国籍
e53080,e5044,逝世日期,逝世日期
e53080,e31582,民族,民族
e14134,e14134,中文名,中文名
e14134,e19599,国籍,国籍
e14134,e32972,职业,职业
e14134,e17430,代表作品,代表作品
e14134,e8096,民族,民族
e32715,e30912,逝世日期,逝世日期
e32715,e41521,籍贯,籍贯
e32715,e32715,中文名,中文名
e7107,e7107,中文名,中文名
e7107,e16429,别名,别名
e7107,e44220,国籍,国籍
e7107,e16728,出生日期,出生日期
e7107,e7313,逝世日期,逝世日期
e7107,e43657,性别,性别
e26658,e26658,中文名,中文名
e26658,e46453,出生日期,出生日期
e26658,e16231,逝世日期,逝世日期
e20130,e20130,中文名,中文名
e26658,e5033,主要成就,主要成就
e20130,e34432,生产单位,生产单位
e20130,e34432,国别,国别
e20130,e6387,现状,现状
e32715,e47551,出生日期,出生日期
e40679,e40679,中文名,中文名
e40679,e2605,出生日期,出生日期
e40679,e8116,逝世日期,逝世日期
e19293,e19293,中文名,中文名
e19293,e44220,国籍,国籍
e19293,e31582,民族,民族
e19293,e50062,逝世日期,逝世日期
e19293,e40137,出生地,出生地
e19293,e25747,出生日期,出生日期
e19293,e52747,职业,职业
e39536,e39536,中文名,中文名
e39536,e44220,国籍,国籍
e39536,e43657,性别,性别
e39536,e31582,民族,民族
e27497,e27497,中文名,中文名
e27497,e8965,类别,类别
e27497,e44583,国家,国家
e27497,e308,型号,型号
e49624,e49624,中文名,中文名
e49624,e39835,外文名,外文名
e49624,e12751,出生日期,出生日期
e49624,e30011,别名,别名
e49624,e32287,出生地,出生地
e49624,e43657,性别,性别
e49624,e50127,逝世日期,逝世日期
e6521,e6521,中文名,中文名
e6521,e13683,出生日期,出生日期
e6521,e52105,出生地,出生地
e6521,e23117,逝世日期,逝世日期
e21112,e21112,名称,名称
e21112,e40206,地点,地点
e21112,e947,时间,时间
e21112,e49054,参战方,参战方
e21112,e21112,名称,名称
e21112,e40206,地点,地点
e21112,e49054,参战方,参战方
e21112,e947,时间,时间
e15149,e15149,本名,本名
e15149,e28004,所处时代,所处时代
e15149,e48081,主要成就,主要成就
